"","road_ID","Y","X"
"67169",2000008,37.5613725,127.0682623
"68752",2000008,37.5358105,127.1309481
"68851",2000008,37.535391,127.1463887
"68893",2000008,37.5335373,127.1376537
"69294",2000008,37.5367064,127.1323336
"18468",3005046,37.6108529,127.0561407
"18568",3005046,37.6064469,127.0491047
"18776",3005046,37.6048529,127.0444799
"19748",3005046,37.6089514,127.0510343
"20161",3005046,37.6113268,127.0584155
"20255",3005046,37.6022188,127.0424608
"20462",3005046,37.6047769,127.0438725
"20804",3005046,37.6050299,127.0451986
"21156",3005046,37.6063386,127.0488689
"21167",3005046,37.6078189,127.0515868
"21194",3005046,37.6085619,127.0521097
"21353",3005046,37.6078477,127.0504932
"21577",3005046,37.6116518,127.0595257
"21922",3005046,37.6033387,127.0333547
"21981",3005046,37.6036686,127.0326809
"22192",3005046,37.6025616,127.0426992
"22193",3005046,37.6040324,127.0432117
"22202",3005046,37.6051292,127.045558
"22563",3005046,37.6030746,127.042984
"22574",3005046,37.6029698,127.0367873
"22668",3005046,37.6141942,127.0619176
"22778",3005046,37.6119317,127.0598513
"22849",3005046,37.6098064,127.0544432
"22914",3005046,37.611421,127.0587632
"23140",3005046,37.6049354,127.0448569
"23296",3005046,37.6081395,127.05378
"23482",3005046,37.6037861,127.0324047
"23694",3005046,37.6033597,127.0331178
"23745",3005046,37.614135,127.0638198
"23753",3005046,37.6028945,127.0371282
"24232",3005046,37.6030914,127.0365314
"24342",3005046,37.6045861,127.0440535
"25553",3005046,37.6123592,127.0606509
"25971",3005046,37.6117845,127.0597619
"26457",3005046,37.6139709,127.062044
"26990",3005046,37.6098509,127.0557274
"27010",3005046,37.604151,127.0436701
"27196",3005046,37.6040233,127.0433726
"27272",3005046,37.6103238,127.0564846
"29635",3005046,37.6156665,127.0664556
"29792",3005046,37.6142368,127.0629258
"29794",3005046,37.6203102,127.084862
"29795",3005046,37.6186286,127.0771797
"30186",3005046,37.6153844,127.0652843
"30506",3005046,37.6275134,127.0872463
"30837",3005046,37.6179815,127.0748121
"31353",3005046,37.6194635,127.0799998
"31591",3005046,37.6179297,127.07474
"31757",3005046,37.617627,127.0741387
"32094",3005046,37.6175926,127.073572
"32146",3005046,37.6180061,127.0740643
"32179",3005046,37.6177162,127.073309
"33010",3005046,37.6177176,127.0739946
"33043",3005046,37.620652,127.0874629
"33088",3005046,37.6175899,127.0735315
"33557",3005046,37.6180901,127.0745856
"65811",3005046,37.6114343,127.0577182
"68347",3005046,37.6034957,127.0330041
"18332",3107003,37.6081818,127.0299428
"18479",3107003,37.5902246,127.0093588
"19799",3107003,37.5903085,127.0097772
"19834",3107003,37.598608,127.0214538
"19882",3107003,37.5895823,127.0092376
"20109",3107003,37.5963968,127.0209378
"20283",3107003,37.5965496,127.0210937
"20321",3107003,37.598429,127.021079
"20395",3107003,37.6053285,127.0269544
"21083",3107003,37.6014301,127.022806
"21106",3107003,37.6053928,127.0258839
"21119",3107003,37.6073411,127.0284866
"21132",3107003,37.5986825,127.0216413
"21142",3107003,37.6063316,127.0267696
"21245",3107003,37.5935656,127.0171549
"21310",3107003,37.6055658,127.0260119
"21398",3107003,37.5943259,127.0183241
"21519",3107003,37.6044844,127.0261296
"21579",3107003,37.6052534,127.0256971
"21597",3107003,37.6051157,127.0255251
"21641",3107003,37.5911903,127.0123597
"21660",3107003,37.5897499,127.010086
"21687",3107003,37.5998545,127.0215214
"21766",3107003,37.591377,127.0107882
"21779",3107003,37.6083434,127.0302701
"21931",3107003,37.6056113,127.026027
"22032",3107003,37.5903696,127.008489
"22170",3107003,37.5894127,127.0088441
"22174",3107003,37.5918312,127.0150628
"22190",3107003,37.5983251,127.0211948
"22289",3107003,37.6049321,127.0264685
"22358",3107003,37.5885866,127.0068828
"22492",3107003,37.5927331,127.0151017
"22583",3107003,37.6023673,127.0217485
"22736",3107003,37.5982569,127.0213302
"23158",3107003,37.5917637,127.0125396
"23376",3107003,37.5919985,127.0141336
"23422",3107003,37.5987969,127.0182727
"23484",3107003,37.6062576,127.0269513
"23486",3107003,37.6078498,127.0286779
"23750",3107003,37.5904509,127.0095317
"23949",3107003,37.5895016,127.0090485
"25613",3107003,37.5895276,127.0103281
"25738",3107003,37.5904005,127.009761
"25950",3107003,37.6035364,127.0235524
"25970",3107003,37.5891379,127.0070326
"26137",3107003,37.5900815,127.0080982
